voter,role,country,gender,voter_url
Gulnara Abikeyeva,programmer,Kazakhstan,Female,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/558
Mehmet Açar,critic,Turkey,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/316
Eva af Geijerstam,critic,Sweden,Female,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/624
Kaleem Aftab,critic,UK,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/444
Daisuke Akasaka,critic,Japan,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/704
Antti Alanen,programmer,Finland,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/785
Marcelo Alderete,programmer,Argentina,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/364
Nigel Algar,archivist,UK,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/247
Francisco Algarín Navarro,critic,Spain,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/600
Tariq Ali,critic,Pakistan/UK,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/66
Sitora Alieva,programmer,Russia,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/95
Thomas Allenbach,programmer,Switzerland,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/63
Gunnar Almer,programmer,Sweden,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/557
Florence Almozini,programmer,US,Female,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/607
Masoud Amralla Al Ali,programmer,Dubai,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/326
Jason Anderson,critic,Canada,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/502
Borislav Andjelic,critic,Serbia,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/757
Fábio Andrade,critic,Brazil,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/621
Geoff Andrew,critic,UK,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/583
Nigel Andrews,critic,UK,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/246
Adriano Aprà,critic,Italy,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/841
Paula Arantzazu Ruiz,critic,Spain,Female,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/215
Inácio Araujo,critic,Brazil,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/529
Álvaro Arroba,critic,Spain,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/823
Anjelika Artyukh,critic,Russia,Female,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/800
